標題,問題,回答
 糖尿病運動問題,"我有糖尿病前期的問題，血糖值大約在110上下，所以想規律的作運動，最近很流行作tabata的間歇性運動，它說只要作4到8分鐘，相當於其他作30分鐘的運動，但我的疑問是，電視上說要連續作30分鐘以上的運動比較好 好像是說前15分鐘是降血糖之類的效果，但是作tabata,這種運動幾乎都是在5分鐘左右就結束了，這樣對於控制血糖有效果嗎？還是一定只能作30分鐘以上的運動才有用呢（如慢跑之類的）？",高強度間歇性運動方式對血糖的影響，目前相關的研究比較少， 其結果對血糖的影響，好像也比較偏向正面。但是，做此運動前， 要先做風險評估
 糖尿病檢查相關問題,醫生你好: 我想要請問一下 正常民眾需要多久去檢查一次自己是否有罹患糖尿病的風險? 做檢查? 是跟健康檢查一樣嗎一年檢查一次 還是需要依照不同醫生所給的醫囑為主 謝謝!,一般來說，需依每個人的狀況，如年齡，體重，家族史，用藥史，症狀，是否有其他疾病等，做不同的判斷。 糖尿病患也是一樣，須依照他本身的情況做判斷。 建議如有相關問題，當面看診。 謝謝
 關於糖尿病,我最近2、3天吃完飯感覺尿都比較多（大約飯後分尿一次，之後再隔差不多的時間再尿一次，印象中之前有幾次吃完大餐也是），並且有時候會有舌頭後面乾乾的感覺，而又有容易餓的情況（主要是胃的空腹感，大約在一個月前出現，有時候有有時候沒有。月8個月前多了偶爾會吃宵夜的習慣（60%）），一年前量過空腹血糖，在正常範圍的正中間，7個月前有出現口渴的情況（我認為不是因為排尿而口渴。狀況就是舌頭感覺很乾。大約一個月後消失）半年前兵役體檢有檢查糖尿（單子上沒寫血糖）也是正常（無），接下來就要去當兵（-），我很擔心自己會不會是糖尿病（補充一些：身高184體重62半年前量的，不知有無變化（至少看不出來）、上禮拜發現手指在維持烏龜烏龜翹的時候會抖動，時好時壞、最近有些縱慾、從小都會放大檢視自己身體，容易緊張）感謝醫生的閱讀，謝謝妳,親愛的網友匿名: 檢驗結果沒有糖尿病，但是您還是擔心糖尿病上身。 可以，過3個月再抽血檢驗一次，若檢驗結果沒有糖尿病，就可以安心了。 祝福您 健康平安! 中醫科顏素美敬上
 C-Peptide偏低,您好： 我現在空腹血糖90和飯後2小時80算正常，但糖化血色素2，胜肽胰島素只有6。 大約1年半前，體重開始突然明顯的減輕（突然減少約20公斤），又這12個月以來糖化血色素又上昇了（0之多），不知我現在的情況是否已符合「第一型的糖尿病」——— 因為這段時間為了讓體重可以回昇一點，常常去吃到飽餐廳，但體重並未明顯回昇（現在172cm/60kg，最低曾57kg)。 1）請問我是第一型糖尿病人了嗎（在我的年記還會發生嗎） 2）常去吃到飽餐廳其實反而加劇上述指數嗎，不去了應可以改善？ 3）有方法可以改善胰島素分泌的能力嗎 謝謝您百忙中抽空解答。感謝,根據您提供的資料，您是第一型糖尿病的機率不高。 不去吃到飽餐廳，加強飲食控制，多運動應可以改善血糖。 改善生活型態，注意飲食，加強運動應可以改善。 另外提醒您，還有一些因素會影響您所提供的數值及體重。 謝謝您的來信
 糖尿病半夜醒來喝牛奶,我爸患有糖尿病，每次睡到一半都會爬起來喝牛奶再(馬上)回房間繼續睡，請問這樣對身體好嗎？謝謝,"一般而言,一杯250毫升的鮮奶,熱量大約150大卡左右;其中,包括醣類,蛋白質,脂肪與其他營養成分。目前資訊,無法得知為何要半夜起床喝牛奶;也許是習慣所致?也許是肚子餓, 血糖降低?也許是其他原因?建議您記錄他晚餐幾點用餐,晚餐後做何活動,使用何種降血糖藥劑,甚至用血糖機測量他喝牛奶前的血糖濃度等等.討論,可能是較好的方法.至於對身體的影響,最好是問題釐清以後再說"
 糖尿病引發視力模糊,家中長輩為二型糖尿病 每天需服用慢性病藥物 前一陣子早晨空腹血糖 大約都10之間 回診後有加開降血糖的藥物 近期早晨空腹血糖約0之間 長輩反應視力偶爾會模糊 光線忽亮忽暗 近幾日特別嚴重 先去有去眼科檢查 只有輕微白內障的症狀 請問這是因為白內障引起的現象嗎 是否建議日常怎麼維護或治療 另外血糖與眼睛的情況能否施打新冠疫苗，的回覆，感謝!,"木, 妳好: 近期早晨空腹血糖約0, 有較之前進步, 但是視力變化近幾日特別嚴重. 因為白內障早期的症狀可能有視力模糊、色調改變、怕光、眼前黑點等, 所以光線忽亮忽暗可能與白內障有關. 不過若症狀越來越多, 還是要再去眼科診療. 白內障保養一般是注意防曬和吃含抗氧化的食物，像五穀雜糧堅 果類等. 血糖與眼睛的狀況若穩定的話是能施打新冠疫苗的. 謝謝妳的來信, 祝身心健康!"
 糖尿病諮詢,醫生你好： 我在時，抽飯前血糖98，醣化血色素8 再時，再抽飯前血糖91，醣化血素素7 但是到了再抽飯前血糖是102，抽血是104 但這兩次沒有再抽糖化血色素，然後開始覺得腳是不是有刺痛，疲勞，視力膜胡，頻尿等症狀 這樣是糖尿病嗎？我很恐慌 抱歉,"糖尿病的診斷標準是空腹血糖126以上, 或糖化血紅素5以上, 刺痛，疲勞，視力膜胡，頻尿,這些症狀目前無法用糖尿病解示"
 妊娠糖尿病,你好： 我在28W有做葡萄糖水75g的檢查： 空腹血糖：96 1小時血糖：178 2小時血糖：136 被診斷為空腹血糖偏高的妊娠糖尿病，現在要飲食及運動控制中，請問空腹及飯後2小時的血糖要控制在多少？血糖多少要打胰島素呢？,空腹和 2小時血糖血糖比正常值高一點點，飲食及運動控制即可，勿擔心。祝健康
 請問需要注意什麼,我奶奶是一名DM Type2的患者，她去看醫生從來不給我們跟，我想問她需要每天測血糖嗎 還是建議多久測一次她喜歡吃水餃跟粥 請問這些是升糖較快的食物嗎 還是建議吃什麼呢,你好，我覺得奶奶很幸福喔(飲食方面有你幫忙注意)，因來信中有些資訊無法得知(如目前血糖控制狀況、腎功能、糖化血色素、身高、體重、用藥及食慾等等)，故僅就目前您的提問回覆如下： 血糖監測頻率會依使用藥物及血糖控制穩定與否來做調整(建議你發揮創意與巧思，想辦法跟著奶奶一起去，做身體健康檢查，希望奶奶陪你一起去等等)，再藉機跟奶奶去診間了解狀況。 除吃餃子外可再搭配些蔬菜較能降低升糖指數，粥也相同，可選擇纖維質較高的糙米、分白米，以降低升糖指數，但仍需注意粥品煮越久，糊化程度越高，升糖效果就越高。 糖尿病飲食其實是均衡飲食的概念(每天飲食包含六大類食物:全穀雜糧類、奶乳品類、豆魚蛋肉類、蔬菜類、水果類及油脂與堅果種子類)，高齡長者因生理機能及腸胃道功能的退化，更需注意「量」與「質」的給予。 謝謝你的來信 祝福奶奶身體健康！
 糖尿病問題,"好: 我患糖尿病已經5,6年,之前曾量過糖化血色素最高值是2,量過的飯前血糖最高約250,最近我積極減肥,去檢驗所量的結果,糖化血色素8,飯前血糖90,請問要怎樣更完整去量測我的血糖以證明我已不是糖尿病病患(雖然我知道正統西醫仍覺得糖尿病病患無法變好),謝謝",糖尿病目前只可控制無法根治，而控制方法包含飲食、運動與藥物控制，糖化血色素2可確定血糖控制不佳，而目前血糖90及糖化血色素8可知血糖控制良好。故不需去證明什麼，照目前方式控制血糖然後定期追蹤就可
 糖尿病引起,您好糖尿病引起龜頭包皮炎該怎麼辦,WW: 你好 控制血糖為首要務。 一旦出現發炎，早日治療。 平常可以用凡士林做龜頭的保養。 若有不詳盡之處，歡迎再度發問，互相再討論研究一下。 網路回答只能作為參考，有必要，還是要到醫療院所就醫。 行政院衛生署 關心您 以上由 泌尿科 許維愷 答覆
 糖尿病,檢查血糖有糖尿病有買血糖機檢測現停用降血糖藥用食物控制現飯後血糖值維持10毫克但空腹為10毫克我已吃的很少一個月體重從78公斤降到69公斤 我是否要再恢復吃降血糖藥若不吃藥是否有其 他方法降血糖值謝謝,"因為血糖沒有很高,可以飲食控制,再配合運動,試一段時間並追&#36394;糖化血色素看長期血糖控制狀況,若不理想再加上口服降血糖藥物"
 糖尿病與水果,請問糖尿病的人可以吃什麼水果，有些水果很甜，可以吃嗎?,shaw您好： 其實糖尿病並沒有特別限制何種水果不能吃，主要還是攝取量的問題，一般來說水果每日的建議量為兩份，也就是早、晚餐各吃一份相當於拳頭大小的水果一個，當然有些水果含糖量較高，故份量也相對的要來的小些，所以建議您就近請教鄰近的，實際了解各種食物所含的熱量及營養素，並熟悉各類食物之份量代換，才可正確而有效的控制血糖。 祝 平安！ 莊宜蓁
 歲以上糖尿病,我爺爺是糖尿病患者 最近晚上睡到一半會開始大叫 一直翻身 很不舒服 無法入眠 請問這跟糖尿病有關係嗎? 用血糖機量出來是40過低 有給飲料 蜂蜜等甜食幫助血糖提升 但效果不彰 這症狀大概持續半小時 發作時大叫 用力翻身等 因血糖過低 無法正確表達身體哪裡不適 尤其天氣冷發生機率越大,網友你好： 依據你所附的血醣記錄確認是低血糖，處與其討論血糖用藥的調整；夜晚的大叫等症狀亦可以和血糖有關，討論，且在症狀再此發生時檢驗血糖值。 願你爺爺身體健康
 糖化血紅素,請問是可直接至門診預約檢查糖化血紅素嗎？ 目前懷孕（孕前是二期糖尿病，三餐藥量已吃半顆），血糖值都在正常範圍內，但已無吃藥及無打胰島素。 生完孩子，哺乳時是否需持續用藥？（不考慮施打胰島素） 謝謝您辛苦了！,如果想要檢驗HbA1c， 可以直接掛家醫科門診或內分泌科門診， 但通常如果是懷孕階段的妊娠糖尿病 我們通常還是由婦產科專科負責 如果懷孕階段飲食跟運動維持好 可以減少使用藥物的機會 但是目前研究顯示有妊娠糖尿病的個案 未來得到糖尿病的機會將會較高 所以會建議生產後仍要追蹤血糖與糖化血色素， 另外因為有妊娠糖尿病的個案 寶寶比較容易體型較大與出生後容易低血糖 所以仍建議血糖要控制穩定。 有任何問題可至門診諮詢
 腳指頭會刺痛,您好: 有些問題，腳的指頭有些許刺痛感，小腿也有腫脹感。 另外大腿偶爾會血液不通的感覺，但以上感覺時間都不長，就是偶爾會痛一下。 體重從的65公斤掉到的63公斤，但目前不確定體重計是否壞掉。 家族有糖尿病史，但個人於今年10月份去抽血檢查顯示飯前血糖為 82 mg/dl 且尿酸也沒有問題。 想請問醫生，有可能在2個月內我的血糖會高到糖尿病的程度嗎? 另外這樣的情形，如果要就診應該詢問哪一科呢? 敬祝: 平安 順心 陳小眼,您好: 糖尿病本身除非有出現急性病變原則很少在兩個月內，從正常血糖進展至需服用藥物控制血糖的地步。 若妳有其他身體不適之症狀，可至家醫科進一步的檢查及評估
 糖尿病問題,"請問醫生，我的血糖目前驗出是117（父親有糖尿病），醫生說還不需要吃藥控制，但是有一大堆的東西不能多吃，想請問的是，假設當天多吃了一些糖分的東西，那多喝水有用嗎？會稀釋糖份嗎?也就是想請教保養挽救一事，例如當天喝水量有到達2000cc(這裡指的是純水量嗎？還是湯也算呢？）,當天如果攝取糖分較多，需要喝更多的水嗎？有幫助嗎？對於有糖尿病前期與真的達到糖尿病的疑問，感謝您！",這位網友你好，糖分的高低是跟攝取的總熱量有關 並不會因為多喝水就讓血糖降低 所以控制飲食及適度運動在糖尿病前期都很重要 希望能解答到你的問題 祝 一切順心 愉快
 妊娠糖尿病,1：我想請問喝雞湯和魚湯會增高血糖嗎2:吃超商生菜沙拉配和風醬會降低血糖嗎？3:鮪魚蛋餅算一份糖嗎？,"關於妊娠糖尿病，最重要的事是一日總醣量的限制，並且以少量多餐方式攝取，並與討論每餐合適的進食份量。 基本上天然製作的雞湯和魚湯，成分中都不含有醣類，故影響血糖能力並不高，並不直接影響血糖 生菜沙拉及和風醬，蔬菜100公克含有少量的醣5克，以及纖維質及維生素，但是吃生菜沙拉並沒有降低血糖作用 鮪魚蛋餅，其蛋餅皮有分大小及厚度不同，大約份的主食份量(醣類代換),一般半片是一個醣類份量。 蔡秀雯回覆 祝您平安健康"
 麻煩的糖尿病,為什麼胰島素依賴型的糖尿病會多吃、多喝、多尿？可是卻又體重減輕、疲倦？ glucose 300mg/dl，HbA1C 8%，sodium 133mg/L，potassium 3mEq/L，chloride 101mg/L，bicarbonate 22mg/L，plasma ketones 1:8 dilution， urinary ketones 4+，這些生化檢查報告各代表什麼意義呢？ 麻煩您告訴我吧！,"糖尿病會產生多吃.多喝.多尿的三多症狀,當血糖升高時,會出現尿糖,而尿糖會有利尿作用, 就會出現多尿,多尿造成身體水分不足,就會產生多喝,多吃是因為中樞神經胰島素缺乏所致, 因尿糖會造成身體養分流失,所以會有體重減輕現象.檢查報告顯示有糖尿病酮酸中毒的跡象 ,處理"
 尿糖陽性,醫生，可以請問一下我用尿糖試紙飯後2小時有時候呈現弱陽性，今天居然驗到了2+，有點惶恐怕是糖尿病，不過有個現象就是空腹和中午晚上飯後卻都是陰性，吃東西前都會先把尿排過一次在驗，不知道為什麼就只有飯後會呈現陽性，所以想請教醫生有沒有可能是什麼原因造成，2個月前有驗過空腹血糖是95,糖尿病某些狀況是空腹血糖不高，但是餐後血糖就高了。建議可以先測飯後血糖值和糖化血色素看看。 另外，又有一些情形，如：腎臟的問題，藥物。等。看診
 會不會得糖尿病？,醫生你好， 最近看了許多報導，發現家族裡有糖尿病患者的自己也很容易有，畢業前在學校我喝的水很少甚至沒有喝，基本上每天都是一杯早餐飲料直到回家，平均一日喝水量大概是500ml左右，而我體重屬於過重，也蠻愛吃甜的、熬夜，很擔心是否會有糖尿病？ 另外近一個月都有正常飲食、運動，每天也有喝1000ml以上的水，不知道是否有幫助？,您好: 糖尿病與遺傳有關，也與後天的生活方式有關。體重過重、缺乏運動、腰圍過大、高熱量飲食都是糖尿病的高危險因子。 預防糖尿病要由體重、飲食、運動做起。 您每天500cc的水分是較為不足。先將體重下降到正常，飲食也要注意，少喝含糖飲料、少吃油炸或澱粉食物。並定期做健康檢查。 祝您 健康
 是否為糖尿病/糖尿病前期,"我想請問您糖尿病的問題，我把我的狀況/檢測結果列如下： ［兩年半前］新生體檢空腹血糖75/肝、腎、其餘正常 ［一年半前］出現口乾症狀，尿據我觀察是因為口乾=》喝水=》多尿；而非多尿=》口乾，會伴隨飢餓感，持續一陣子好轉 ［一年前］兵役體檢（暑期兵）我是飯後小時檢驗的,報告上沒寫血糖，其餘正常 ［前一個月］口乾出現，伴隨飢餓感飯前尤其明顯，他說這像是潰瘍症狀（兩年半前也是，之後我還蠻確定為腸胃潰瘍的），我那時自己認定得了糖尿病，整天鬱悶便去家醫科看診，隔天他幫我驗飯前（抽血順便看肝腎+驗尿，當天量體重有胖2kg,與半年前對比） 四天後看飯前99肝腎正常尿正常，看我擔心變問我吃過沒，我說1小時前喝過350ml無糖桂格大雁麥片，他變說：1小時可以啦！便幫我驗飯後，但我回想才發現沒到一小時那麼久，應該只過40分鐘，結果104他說：正常辣（我有點擔心這20分的誤差）而我看報告時紙本還沒出來，我不知道他有沒有幫我驗糖化血色素，他只說：你的檢驗報告都正常，只是壞的膽固醇稍稍高，比標準高出1（不過我第一次去有強調我想檢查糖尿病） 總結：無家庭病史、20歲1kg、無菸酒，口乾症狀與腸胃潰瘍症狀會在同一段時間出現/一起消失，不確定有無關連（但我查腸胃潰瘍沒這種，只有查到中醫的有提我相似症狀）口乾在吃完飯（10分後）會稍微明顯有時飯後又不會，一直注意膀胱會多尿，有些時候會晚睡（2、3點）衛生習慣差,我是不是什麼糖尿病前期？我口乾是糖尿病症狀？我覺得整天活在擔心底下好累,由此發問，感謝回覆",您好！ 依據您提供的資訊，目前還沒有糖尿病的風險，建議您半年再追蹤一次即可。 口乾的症狀較無特異性，熬夜、水分不足都可能造成口乾，建議您適度補充水分，觀察尿量及顏色，量少或色深代表身體水分不足，請您每日飲水再視狀況增加500cc，也要培養規律的運動習慣，可以減少緊張焦慮的情緒
 糖尿病,"您好:我每天都是喝蜂蜜水,會得糖尿病嗎?",喝蜂蜜水，不會得糠尿病；但是，糠尿病患者不能喝蜂蜜水
 糖尿病詢問減重問題,我本身妊娠糖尿13年 吃藥控制 但是血糖值都不怎麼理想這次抽血 飯前172 醣化血色素 5 目前身高163體重62 算是正常 但是我這一年來體重直線上升 一年胖了12公斤 幾乎都胖在肚子 腰圍應該破89公分了 有去家醫科檢查 指數都正常 超音波 也沒長東西 是說我這個是鮪魚肚 。有上一些健康網站查看 限醣飲食會瘦血糖也會改善 努力了3個月左右 也都沒瘦。糖化血色素是有降8 之前說運動會瘦 血糖直會降也都沒有 。我已經不知道該怎麼辦了。 分 幾乎一顆蛋加無糖燕麥飲或無糖優酪乳 午餐比較隨意 不限醣 晚餐 燙青菜 滷味 地瓜 蛋 之類的沒有醣類 滷味也都青菜菇類跟肉 都限醣戒飲料了。到底要怎麼瘦 本身食量不大 也不太會餓 但是三餐正常吃。已經吃到有點懷疑人生了。一方面為了身體健康也是希望肚子瘦一點 因為已經有些糖尿病併發症了。 抱歉文有點長 。感謝您耐心看完,"咚, 妳好: 來信展讀數遍, 感覺的到妳有努力控制血糖, 請繼續保持. 減重想做的好,要以飲食控制為主, 運動為輔. 建議諮詢, 決定多少量的食物和種類來攝取, 避免高油脂食物及記得吃了什麼食物的習慣, 方便上一餐若吃多了, 下一餐可以扣回來. 另外建議來院診查看有出現那些併發症並予以治療. 祝 身心愉快 柳 鴻 祥"
 驗糖尿病,你好 最近感覺上半身爆汗、傷口不易好，而老媽有糖尿病，所以懷疑我有糖尿病，內分泌科想驗血，說想要驗糖化血色素和飯後兩小時血糖值，就說只要驗飯後就夠了，糖化血色素不用，我想說糖化血色素不是比較準，就說先驗再說，結果飯後驗出來是142，就說恭喜沒過200沒得糖尿病，就叫我走了。 回家感覺怪怪的，幾個問題： 查網路資料，正常人飯後最高標準值140，我142是不是超標了，卻說不到200所以沒事，那不是隨機血糖標準值嗎？ 驗血當天快來不及了，這樣驗出142是否準確？飯量吃多吃少會對飯後血糖值有影響嗎？ 飯後142講的放心不是糖尿病不用再驗糖化血色素，還是已經是前期了？,你好： 以你的血糖報告而言，現在是處於糖尿病前期的狀態，建議你健康飲食及適度運動，於三個月後至家庭醫學科門診追蹤。 飲食的多寡會影響當時的血糖值變化，所以勿暴飲暴食對血糖控制是有幫助的。 願你身體健康
 糖耐測試,您好：本人糖化血色素5，糖耐測試五次血糖的數值分別為：96、167、212、174、132。表示，有三次血糖超過140，身體對於糖的耐受度不佳，為糖尿病的前期，需要從飲食控制做起，半年或一年後再追蹤。，從糖化血色素的數值來看，應該尚未達到糖尿病的前期，但糖耐測式的數字卻偏高，感覺平均血糖的數值，應該會超過用糖化血色素公式算出來的5，不知是否還需要做其他的檢查，比如：胰島素阻抗或分泌不足等。撥冗解惑！感恩！,網友你好： 目前對於糖尿病前期患者的建議是均衡飲食及適度的運動，且保持輕鬆心情定期追蹤即可。討論追蹤的頻率。 願你身體健康
 糖尿病飲食,您好我想請問第二型最近確診初期患者，早餐都是吃桂格十錦珍穀+2樣綠色青菜，每天都這樣吃合適嗎? 或是可以替換桂格系列的穀珍(穀麥全餐 無添加糖)合適嗎? 桂格十錦珍穀 成分： 燕麥、蕃茄、紫米、胡蘿蔔、紅甜菜、綠花椰菜、糙米鈣粒、葡萄籽萃取物、薏仁、蕎麥 穀珍(穀麥全餐 無添加糖) 【穀麥營養】含綜合穀物 【黑芝麻】 【綜合核果】蓮子、腰果、南瓜子、核桃、銀杏果、松子,評估糖尿病飲食，不會只評估每天某一餐的飲食。建議您做幾幾天的飲食紀錄，然後再到您就醫的醫療機構，與該機構的就飲食紀錄做整體評估
 可否用全蛋白質飲食控制糖尿病?,你好，我母親糖尿病多年，但血糖控制的不是很好，是否不讓我母親吃澱粉類的食物，改吃全蛋白質的食物(肉類、海鮮、豆腐、蛋)，血糖就會獲得控制呢?如果不行 可否簡單說明原因?如果可以用此方法控制血糖，是否有其他缺點? ps.母親的腎功能目前正常,您好： 全蛋白質飲食不當會造成腎臟負擔 且蛋白質飲食限制更嚴格 需檢測微蛋白尿指數 建議您掛新陳代謝科門診 依您母親的狀況給予意見 謝謝！
 糖尿病檢查,您好我做血液檢查與尿液檢查發現尿液檢查報告有尿糖與尿朣這些報告糖尿病屬於第一型還是第二型,僅由基礎的檢查還無法斷定是第一型或第二型糖尿病 需要進一步評估 多謝您的來信 關心您
 糖尿病症,糖尿病會暴瘦是什麼原因,"糖尿病可能會出現體重下降的現象, 但也非在每個病人皆會發生. 而體重急降有可能因為正常細胞糖分代謝發生異狀, 無法正常得到葡萄糖, 使得身體組織必須分解脂肪及蛋白質. 多謝來信 關心您"
 糖尿病相關知識,您好：分已豆類、雜糧穀物為主，偏素食，但很喜愛吃甜品，若是自己煮東西、沖茶、可可等，砂糖一定是大把大把的加，不過因為平時有適度的體能活動與重量訓練，體型還還算標準，上述的情況會不會因為糖果、砂糖、甜食等吃太多將來容易罹患糖尿病？謝謝,"雖然無明顯證據證明多於糖吃糖會得糖尿病,但糖類吃多易胖,而且快速的血糖上升對身體亦不好,建議還是少吃精緻醣類,多吃五穀.糙米.燕麥較好"
 糖尿病,你好： 家父是糖尿病患者， 二週前因腳的大拇指傷口不佳， 在醫生的建議下截去兩腳的大拇指。 這兩週來時有發燒現象， 胃口差 ，只能偶喝流質充體力， 前日便秘現象才解除。 昨天開始不斷從口中吐氣和白沫， 幾乎是自發性， 家父無法控制停止。因家父三個月前中風右半邊肢體癱瘓，且又無法言語，身為子女的無法去理解他的痛，分做治療(因傷口瘉合不佳，需再次動手術）。 我想知道，為何家父會一直口吐白沫且有不斷的重複吐氣動作？是因發高燒還是他胃腸方面也出現了狀況？可否請蔡醫生就其可能發生的原因說明，讓我們在面對主治醫生時，能提出可能的問題以請求協助？十分感謝你百忙中，抽空回答。謝謝 心急的人,您好: 糖尿病病患往往因為末梢循環不良造成傷口不容易癒合，甚至重複感染而必須面臨截肢，有時候開完刀之後傷口仍然容易細菌感染，這時候如果病患本身還有其他疾病，例如：腦中風、高血壓、等等，會因為免疫功能變差而使得細菌感染更嚴重，例如：敗血症，病人此時的症狀就有可能如您所述。先解決內科問題。 感謝您的來函
 糖尿病患者口腔內巨痛,請問 我外婆得糖尿病已20多年 目前口腔內雖無破洞 但常常會覺得口腔內疼痛 一般熱食根本無法下嚥 只能吃冷食 請問 這應該看哪一科 或是有任何可以解決的辦法 謝謝~,口腔內疼痛應尋求牙科協助
 印度草本治療糖尿病?,"在最近的台灣醫界上看到一篇印度草本治療糖尿病的廣告,請問是真的嗎?謝謝!",igtseng您好： 抱歉因為出國致使無法及時回答您的問題。您提到的廣告我並沒看過。然而即使刊登在台灣醫界上它依然是”廣告”。來診斷及治療。不宜自己看廣告服藥。切記切記！ 衛教室 陳清彬
 關於糖尿病,"蕭你好:2抽血檢查,空腹血糖130,糖化血色素4%,醫生沒開藥說飲食控制就好.我有買血糖機每天驗次也飲食控制加減肥目前84公斤(原本102公斤),偶爾次飯後今天量血糖115(空腹17小時)比昨晚飯後107還高,我有發現好像空腹超過12小時會比空腹小時還高一點,請教蕭這是為什麼?? 以下近10日驗血糖指數.5號(早餐前92午餐後(60分)(120分)晚餐後98)…6號 (早餐前91早餐後114晚餐後100)…7號(早餐前92午餐後130晚餐前95晚餐後107)…8號(早餐前94早餐後105晚餐後123)….9號(早餐前96早餐後116午餐後107晚餐後126)…10號(早餐前91午餐後99晚餐後101)。11號(早餐前88午餐後104晚餐後105)….12號(早餐前78早餐後91午餐後124晚餐後82)。13號(早餐前91午餐後128晚餐後107)….14號(早餐前115) 以上早餐前空腹超過12小時餐後2小時 PS:本身有高血壓.高血脂肪症.尿蛋白.B肝第5級脂肪肝 感謝蕭抽空回答","一般而言,空腹的血糖值126mg/dl時,糖化血色素值(HBA1c)大約 5%.因此,您兩個月前的檢驗數值,應該是可信的. 糖尿病的分類中,第2型糖尿病佔所有糖尿病的%左右.其病理機轉,與家族傾向和遺傳有關,剛開始是胰島素阻抗與高胰島素血症,接著血糖異常,葡萄糖耐量試驗異常,胰臟貝他細胞衰竭,最後出現第二型糖尿病.閣下的體重在大約10週內由102公斤,降至84公斤,平均每週下降8公斤;比起通常所建議的每週下降5公斤快很多.希望仍需注意睡眠要足夠,用餐速度放慢,細嚼慢嚥,每餐八分飽即可;避免宵夜或晚餐過飽.也要避免有含有反式脂肪(如奶油,酥油,三合一咖啡,二合一咖啡,奶茶等)與玉米果糖(含糖飲料,可樂等)等食品;因為這些物質,熱量過高,卻又沒有飽足感,胖了以後,不容易減重.也容易發生脂肪肝.講這麼多,就是怕閣下因為減重速度太快,導致體重反彈性升高回復.事實上,體重在減輕的過程中,身體的代謝型態與速度,都同時在做調整;減重太快,會有身體一下子無法適應的可能,導致體重反彈性升高,對身體反而不好. 當體重下降時,高血壓,高血脂症,蛋白尿與脂肪肝的嚴重度,理論上都會有不同程度的改善.例如;體重下降公斤以上時,血壓值會開始下降. 晚餐後血糖107mg/dl,空腹17小時的血糖115mg/dl.其實在血糖機所測的微血管血糖,差別不大,個人認為不必太在意.當然,也有可能是因為餓太久了,導致交感神經活性昇高,腎上腺素升高,於是血糖也升高.但是,閣下一連十天頻繁的血糖偵測,顯示的數值都不錯.所以,應該不用太擔心.較長期的血糖表現與糖化血色素值,才是有意義的. 飲食控制,規律的運動與生活型態的改變,目前仍是高血糖控制的不二法門;There is no royal road.(無君王之路).另外,保持良好的聯繫與討論為宜. 這封電子郵件,因為本人可能因為信件過多,誤觸刪除指令,導致延誤,在此致歉"
 再次詢問第二次問題-蕭永薰醫師,"第一次發問的原文:(已回覆,再次詢問第二次問題) -------------------------------------------------------------------------- 你好! 我最近去驗糖化血色素,報告是5% (沒有驗飯前和飯後血糖) 我想請問我是否正式得到糖尿病,以前驗糖化血色素是1%(相差一個月多驗的)(更久 以前驗糖化血色素都多左右). 有沒有說驗糖化血色素要隔多久時間驗?(主要是要驗有沒有糖尿病,如果須要第二次驗證) 我下一次驗糖化血色素是12月中左右,如果驗出低於5%(包括不等於5%),就正常的話,就是說沒有得到糖尿病? 診斷糖尿病是以一次驗出糖化血色素不正常,就得到糖尿病,還是必須要第二次驗出糖化血色素不正常,才是正式得到糖尿病? 驗糖化血色素是否還要再次驗飯前和飯後血糖,才能診斷糖尿病,還是糖化血色素就可以了? 糖化血色素參考值是6~6,7~ 目前體重113kg左右。 回覆~~~~~~~~~~~~~~~~~~~~~ --------------------------------------------------------------------------- 的之前回覆 的之前回覆,那意思就是我還沒有得到糖尿病?還是其它? 回覆~~~~~~~~~~~~~~~~~~~~~","討論為宜;HBA1c 5% 已經接近糖尿病了.所以,一定要注意飲食控制,避免過量;也要多運動才好"
